Timestamp, CPU%, MEM%
2024-05-17 11:20:06, 45.5g, 100.0
2024-05-17 11:20:10, 45.7g, 100.0
2024-05-17 11:20:13, 45.8g, 100.0
2024-05-17 11:20:16, 46.0g, 91.7
2024-05-17 11:20:20, 46.3g, 100.0
2024-05-17 11:20:23, 46.9g, 92.3
2024-05-17 11:20:26, 46.9g, 92.3
2024-05-17 11:20:29, 47.1g, 92.3
2024-05-17 11:20:33, 47.4g, 92.3
2024-05-17 11:20:36, 47.8g, 100.0
2024-05-17 11:20:39, 48.0g, 100.0
2024-05-17 11:20:42, 48.3g, 100.0
2024-05-17 11:20:46, 48.7g, 100.0
2024-05-17 11:20:49, 48.9g, 100.0
2024-05-17 11:20:52, 49.2g, 100.0
2024-05-17 11:20:55, 49.8g, 100.0
2024-05-17 11:20:59, 49.8g, 100.0
2024-05-17 11:21:02, 50.0g, 100.0
2024-05-17 11:21:05, 45.0g, 100.0
2024-05-17 11:21:08, 45.0g, 100.0
2024-05-17 11:21:12, 45.0g, 100.0
2024-05-17 11:21:15, 45.0g, 100.0
2024-05-17 11:21:18, 45.0g, 100.0
2024-05-17 11:21:21, 45.0g, 92.3
2024-05-17 11:21:25, 45.0g, 100.0
2024-05-17 11:21:28, 45.0g, 100.0
2024-05-17 11:21:31, 45.0g, 100.0
2024-05-17 11:21:35, 45.0g, 100.0
2024-05-17 11:21:38, 45.1g, 91.7
2024-05-17 11:21:41, 45.5g, 100.0
2024-05-17 11:21:44, 45.5g, 100.0
2024-05-17 11:21:48, 45.7g, 100.0
2024-05-17 11:21:51, 45.9g, 100.0
2024-05-17 11:21:54, 46.5g, 100.0
2024-05-17 11:21:57, 46.5g, 92.3
2024-05-17 11:22:01, 46.7g, 100.0
2024-05-17 11:22:04, 46.9g, 100.0
2024-05-17 11:22:07, 47.5g, 100.0
2024-05-17 11:22:10, 47.5g, 100.0
2024-05-17 11:22:14, 47.7g, 100.0
2024-05-17 11:22:17, 48.0g, 100.0
2024-05-17 11:22:20, 48.4g, 100.0
2024-05-17 11:22:23, 48.6g, 91.7
2024-05-17 11:22:27, 48.9g, 100.0
2024-05-17 11:22:30, 49.3g, 100.0
2024-05-17 11:22:33, 49.5g, 100.0
2024-05-17 11:22:36, 49.7g, 100.0
2024-05-17 11:22:40, 50.4g, 108.3
2024-05-17 11:22:43, 50.4g, 100.0
2024-05-17 11:22:46, 50.6g, 100.0
2024-05-17 11:22:50, 51.1g, 91.7
2024-05-17 11:22:53, 51.3g, 92.3
2024-05-17 11:22:56, 51.5g, 100.0
2024-05-17 11:22:59, 51.7g, 108.3
2024-05-17 11:23:03, 52.2g, 100.0
2024-05-17 11:23:06, 52.4g, 100.0
2024-05-17 11:23:09, 52.6g, 100.0
2024-05-17 11:23:12, 53.2g, 100.0
2024-05-17 11:23:16, 53.3g, 100.0
2024-05-17 11:23:19, 53.5g, 92.3
2024-05-17 11:23:22, 53.7g, 100.0
2024-05-17 11:23:25, 54.2g, 100.0
2024-05-17 11:23:29, 54.4g, 100.0
2024-05-17 11:23:32, 54.6g, 100.0
2024-05-17 11:23:35, 55.3g, 108.3
2024-05-17 11:23:38, 55.3g, 100.0
2024-05-17 11:23:42, 55.5g, 100.0
2024-05-17 11:23:45, 55.9g, 91.7
2024-05-17 11:23:48, 56.1g, 100.0
2024-05-17 11:23:51, 56.4g, 91.7
2024-05-17 11:23:55, 56.6g, 100.0
2024-05-17 11:23:58, 57.0g, 92.3
2024-05-17 11:24:01, 57.2g, 92.3
2024-05-17 11:24:05, 57.5g, 100.0
2024-05-17 11:24:08, 57.9g, 100.0
2024-05-17 11:24:11, 58.1g, 100.0
2024-05-17 11:24:14, 58.3g, 100.0
2024-05-17 11:24:18, 63.8g, 100.0
2024-05-17 11:24:21, 63.8g, 108.3
2024-05-17 11:24:24, 63.8g, 108.3
2024-05-17 11:24:27, 63.8g, 100.0
2024-05-17 11:24:31, 63.8g, 91.7
2024-05-17 11:24:34, 98.1g, 100.0
2024-05-17 11:24:37, 98.1g, 100.0
2024-05-17 11:24:40, 98.1g, 108.3
2024-05-17 11:24:44, 98.1g, 100.0
2024-05-17 11:24:47, 98.1g, 92.3
2024-05-17 11:24:50, 98.1g, 92.3
2024-05-17 11:24:53, 98.1g, 100.0
2024-05-17 11:24:57, 98.1g, 100.0
2024-05-17 11:25:00, 98.1g, 100.0
2024-05-17 11:25:03, 98.1g, 100.0
2024-05-17 11:25:06, 98.1g, 108.3
2024-05-17 11:25:10, 98.1g, 100.0
2024-05-17 11:25:13, 102.0g, 100.0
2024-05-17 11:25:16, 104.3g, 100.0
2024-05-17 11:25:20, 104.3g, 100.0
