Timestamp, CPU%, MEM%
2024-05-17 11:13:42, 86988, 69.2
2024-05-17 11:13:45, 385000, 108.3
2024-05-17 11:13:48, 3306300, 108.3
2024-05-17 11:13:52, 3306300, 100.0
2024-05-17 11:13:55, 3306300, 100.0
2024-05-17 11:13:58, 3306300, 100.0
2024-05-17 11:14:01, 3306300, 100.0
2024-05-17 11:14:05, 3306300, 92.3
2024-05-17 11:14:08, 3306300, 100.0
2024-05-17 11:14:11, 3306300, 100.0
2024-05-17 11:14:14, 3306300, 91.7
2024-05-17 11:14:18, 3306300, 84.6
2024-05-17 11:14:21, 3306300, 84.6
2024-05-17 11:14:24, 3306300, 100.0
2024-05-17 11:14:27, 3306300, 100.0
2024-05-17 11:14:31, 3306300, 100.0
2024-05-17 11:14:34, 3306300, 91.7
2024-05-17 11:14:37, 3306300, 100.0
2024-05-17 11:14:41, 3306300, 91.7
2024-05-17 11:14:44, 3306300, 91.7
2024-05-17 11:14:47, 3306300, 91.7
2024-05-17 11:14:50, 3306300, 100.0
2024-05-17 11:14:54, 3306300, 100.0
2024-05-17 11:14:57, 3306300, 108.3
2024-05-17 11:15:00, 3306300, 100.0
2024-05-17 11:15:03, 3306300, 91.7
2024-05-17 11:15:07, 3306300, 91.7
2024-05-17 11:15:10, 3306300, 91.7
2024-05-17 11:15:13, 3306300, 91.7
2024-05-17 11:15:16, 3306300, 91.7
2024-05-17 11:15:20, 3306300, 108.3
2024-05-17 11:15:23, 3306300, 100.0
2024-05-17 11:15:26, 3306300, 100.0
2024-05-17 11:15:29, 3306300, 100.0
2024-05-17 11:15:33, 3306300, 92.3
2024-05-17 11:15:36, 3306300, 100.0
2024-05-17 11:15:39, 5378972, 100.0
2024-05-17 11:15:42, 4688084, 100.0
2024-05-17 11:15:46, 3997192, 100.0
2024-05-17 11:15:49, 6762288, 100.0
2024-05-17 11:15:52, 6762288, 100.0
2024-05-17 11:15:55, 7452660, 100.0
2024-05-17 11:15:59, 7489704, 100.0
2024-05-17 11:16:02, 8160324, 100.0
2024-05-17 11:16:05, 4708424, 100.0
2024-05-17 11:16:09, 31.1g, 108.3
2024-05-17 11:16:12, 31.1g, 92.3
2024-05-17 11:16:15, 31.1g, 84.6
2024-05-17 11:16:18, 31.8g, 100.0
2024-05-17 11:16:22, 31.8g, 100.0
2024-05-17 11:16:25, 32.3g, 100.0
2024-05-17 11:16:28, 32.8g, 100.0
2024-05-17 11:16:31, 33.2g, 92.3
2024-05-17 11:16:35, 33.7g, 84.6
2024-05-17 11:16:38, 34.2g, 92.3
2024-05-17 11:16:41, 34.7g, 100.0
2024-05-17 11:16:44, 35.1g, 100.0
2024-05-17 11:16:48, 35.9g, 100.0
2024-05-17 11:16:51, 36.4g, 100.0
2024-05-17 11:16:54, 36.4g, 100.0
2024-05-17 11:16:57, 36.9g, 100.0
2024-05-17 11:17:01, 32.3g, 100.0
2024-05-17 11:17:04, 32.3g, 100.0
2024-05-17 11:17:07, 32.5g, 92.3
2024-05-17 11:17:10, 32.9g, 100.0
2024-05-17 11:17:14, 33.3g, 100.0
2024-05-17 11:17:17, 33.4g, 100.0
2024-05-17 11:17:20, 33.9g, 100.0
2024-05-17 11:17:24, 34.3g, 92.3
2024-05-17 11:17:27, 34.8g, 84.6
2024-05-17 11:17:30, 35.2g, 91.7
2024-05-17 11:17:33, 35.4g, 100.0
2024-05-17 11:17:37, 35.9g, 100.0
2024-05-17 11:17:40, 36.3g, 100.0
2024-05-17 11:17:43, 37.0g, 100.0
2024-05-17 11:17:46, 37.0g, 92.3
2024-05-17 11:17:50, 32.9g, 91.7
2024-05-17 11:17:53, 32.9g, 91.7
2024-05-17 11:17:56, 32.9g, 100.0
2024-05-17 11:17:59, 33.1g, 100.0
2024-05-17 11:18:03, 33.3g, 100.0
2024-05-17 11:18:06, 33.7g, 92.3
2024-05-17 11:18:09, 34.2g, 100.0
2024-05-17 11:18:12, 34.2g, 100.0
2024-05-17 11:18:16, 34.7g, 100.0
2024-05-17 11:18:19, 35.1g, 84.6
2024-05-17 11:18:22, 35.6g, 100.0
2024-05-17 11:18:26, 36.2g, 100.0
2024-05-17 11:18:29, 36.3g, 100.0
2024-05-17 11:18:32, 36.7g, 100.0
2024-05-17 11:18:35, 37.1g, 100.0
2024-05-17 11:18:39, 33.4g, 100.0
2024-05-17 11:18:42, 33.4g, 100.0
2024-05-17 11:18:45, 33.4g, 100.0
2024-05-17 11:18:48, 33.4g, 100.0
2024-05-17 11:18:52, 33.6g, 100.0
2024-05-17 11:18:55, 34.0g, 100.0
2024-05-17 11:18:58, 34.2g, 100.0
2024-05-17 11:19:01, 34.5g, 100.0
2024-05-17 11:19:05, 34.9g, 100.0
2024-05-17 11:19:08, 35.6g, 108.3
2024-05-17 11:19:11, 35.6g, 100.0
2024-05-17 11:19:14, 36.0g, 91.7
2024-05-17 11:19:18, 36.5g, 91.7
2024-05-17 11:19:21, 36.9g, 100.0
2024-05-17 11:19:24, 37.4g, 100.0
2024-05-17 11:19:28, 37.6g, 100.0
2024-05-17 11:19:31, 38.0g, 91.7
2024-05-17 11:19:34, 38.5g, 100.0
2024-05-17 11:19:37, 38.9g, 100.0
2024-05-17 11:19:41, 39.5g, 100.0
2024-05-17 11:19:44, 39.6g, 100.0
2024-05-17 11:19:47, 40.0g, 100.0
2024-05-17 11:19:50, 40.5g, 92.3
2024-05-17 11:19:54, 41.0g, 100.0
2024-05-17 11:19:57, 41.6g, 91.7
2024-05-17 11:20:00, 41.6g, 100.0
2024-05-17 11:20:03, 42.1g, 100.0
2024-05-17 11:20:07, 42.6g, 100.0
2024-05-17 11:20:10, 47.0g, 100.0
2024-05-17 11:20:13, 47.0g, 108.3
2024-05-17 11:20:16, 47.0g, 100.0
2024-05-17 11:20:20, 71.7g, 92.3
2024-05-17 11:20:23, 71.7g, 100.0
2024-05-17 11:20:26, 71.7g, 100.0
2024-05-17 11:20:30, 71.7g, 91.7
2024-05-17 11:20:33, 71.7g, 92.3
2024-05-17 11:20:36, 71.7g, 100.0
2024-05-17 11:20:39, 71.7g, 108.3
2024-05-17 11:20:43, 71.7g, 100.0
2024-05-17 11:20:46, 73.6g, 84.6
2024-05-17 11:20:49, 77.6g, 100.0
